"index_anndate","status","n_treat","r_cv","cor_eff","mae_eff","cor_tr_path","max_tr_diff","day1_mine","day1_saved","day1_absdiff"
1,"ok",1,2,1,8.19992515728452e-11,1,5.20417042793042e-17,0.00301714888381046,0.00301714893430471,5.04942541772191e-11
2,"ok",1,3,1,5.96839678916085e-11,1,4.44089209850063e-16,0.0162293716510988,0.0162293716566637,5.56491658310065e-12
3,"ok",3,7,1,1.0345081903927e-10,1,5.55111512312578e-17,0.0314661925583872,0.0314661928762992,3.17912023095612e-10
4,"ok",1,4,1,2.11356900888406e-10,1,5.20417042793042e-17,0.0122199982483486,0.012219998287037,3.86884153186218e-11
5,"ok",2,1,1,4.15296893118313e-11,1,5.03069808033274e-17,0.0103845201517554,0.0103845201520016,2.46242262691432e-13
6,"ok",1,1,1,6.62518549957321e-11,1,5.20417042793042e-17,-0.0118326029728719,-0.0118326030205935,4.7721623527841e-11
7,"ok",1,2,1,1.98335650006549e-10,1,5.20417042793042e-17,0.0357772042777109,0.0357772042043507,7.33601929203687e-11
8,"ok",1,1,1,9.15053568448208e-11,1,4.02455846426619e-16,0.0243171717717416,0.0243171716574579,1.14283651986291e-10
9,"ok",1,3,1,2.11464413234405e-10,1,4.44089209850063e-16,0.0235856703801223,0.023585669696331,6.83791277072965e-10
10,"ok",1,1,1,6.79357130125248e-11,1,5.20417042793042e-17,-0.00249371038548114,-0.00249371048994362,1.04462483368345e-10
11,"ok",1,1,1,6.67512811483557e-11,1,5.20417042793042e-17,0.0324083275235164,0.0324083277955651,2.72048730765029e-10
12,"ok",1,2,1,1.17710662972434e-10,1,5.20417042793042e-17,0.0202055465016043,0.0202055461704731,3.3113120231909e-10
13,"ok",1,2,1,1.04934875451675e-10,1,5.20417042793042e-17,0.00179306507833977,0.00179306510835886,3.00190900782982e-11
14,"ok",3,1,1,1.11913705711009e-10,1,5.55111512312578e-17,0.0243082348209637,0.0243082349188626,9.78988799749114e-11
15,"ok",1,1,1,2.39897226393226e-10,1,5.20417042793042e-17,-0.0336935698489987,-0.0336935669183731,2.9306255894257e-09
