"row","col","estimate_pct","n"
"Market (published)","Full sample",0.824736240439618,14847
"Gsynth (published)","Full sample",0.657885643868226,14847
"SC (refit)","Full sample",0.437186227650665,14847
"APM (refit)","Full sample",0.511496838587877,14841
"Market (published)","Public targets",-1.15103440757597,3297
"Gsynth (published)","Public targets",-1.27884789617096,3297
"SC (refit)","Public targets",-1.52991331909219,3297
"APM (refit)","Public targets",-1.52974598749221,3295
"Market (published)","Private targets",1.27539832026988,7030
"Gsynth (published)","Private targets",1.04801749884151,7030
"SC (refit)","Private targets",0.877738676349629,7030
"APM (refit)","Private targets",0.921411015851914,7029
"Market (published)","Other targets",1.56499318851499,4520
"Gsynth (published)","Other targets",1.4638112060467,4520
"SC (refit)","Other targets",1.1868418673094,4520
"APM (refit)","Other targets",1.36263882662086,4517
"Market (published)","Cash merger",1.09282584508117,9261
"Gsynth (published)","Cash merger",0.957223277103012,9261
"SC (refit)","Cash merger",0.74318188069082,9261
"APM (refit)","Cash merger",0.874978288357025,9256
"Market (published)","Stock merger",0.381072944313286,5592
"Gsynth (published)","Stock merger",0.163415732046746,5592
"SC (refit)","Stock merger",-0.0681003717596469,5592
"APM (refit)","Stock merger",-0.0879322244787842,5591
